Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Casper VIA A40,6.78,IPS LCD,396,5000,64,6,Android,8,256,120,0,7566,0,0,905317
Redmi 13,6.79,IPS LCD,396,5030,108,12,Android,8,256,90,0,8474,3,5,955936
Tecno Spark 30,6.78,IPS LCD,396,5000,64,12,Android,8,128,90,0,7680,4,6,931820
Samsung Galaxy A16,6.7,Super AMOLED,385,5000,50,6,Android,4,128,90,0,7988,4,5,868547
Samsung Galaxy A15,6.5,Super AMOLED,396,5000,50,6,Android,4,128,90,0,7989,0,0,854494
Oppo A60,6.67,IPS LCD,264,5000,50,6,Android,8,256,90,0,9099,4,5,869013
Tecno Spark 20,6.6,IPS LCD,267,5000,50,12,Android,8,256,90,0,7526,3,5,993952
Huawei Nova Y91,6.95,IPS LCD,376,7000,50,6,Android,8,128,90,0,19999,0,0,932800
Tecno Spark 10 Pro,6.8,IPS LCD,395,5000,50,12,Android,8,256,90,0,7839,0,0,971493
Vivo Y36,6.64,IPS LCD,395,5000,50,6,Android,8,128,90,0,9599,4,5,959882
Redmi 12,6.79,IPS LCD,396,5000,50,12,Android,8,256,90,0,7395,3,5,963955
realme 12 Lite,6.72,IPS LCD,392,5000,108,6,Android,6,128,90,0,6859,4,5,870708
Vivo Y28,6.68,IPS LCD,264,6000,50,12,Android,8,128,90,0,7294,4,6,863662
Tecno Spark 30C,6.67,IPS LCD,263,5000,48,12,Android,8,256,120,0,7049,4,5,936438
Nubia Neo 5G,6.6,IPS LCD,400,4500,50,6,Android,8,256,120,1,11199,0,0,909047
realme C55,6.72,IPS LCD,392,5000,64,12,Android,8,256,90,0,9396,0,0,871707
Samsung Galaxy M14 5G,6.6,PLS,400,6000,50,5,Android,4,64,90,1,12089,0,0,899409
Oppo A60,6.67,IPS LCD,264,5000,50,6,Android,8,128,90,0,9216,4,5,889732
Tecno Spark 20,6.6,IPS LCD,267,5000,50,12,Android,8,128,90,0,6162,3,5,972399
Tecno Spark 10 Pro,6.8,IPS LCD,395,5000,50,12,Android,8,128,90,0,8167,0,0,963954
Redmi 12,6.79,IPS LCD,396,5000,50,12,Android,8,128,90,0,7399,3,5,903996
Infinix Hot 30,6.78,IPS LCD,396,5000,50,12,Android,4,128,90,0,5844,0,0,965165
Vivo Y19s,6.68,IPS LCD,264,5500,50,12,Android,8,256,90,0,8895,4,6,854255
Nubia V50 Design,6.66,IPS LCD,396,5000,50,12,Android,8,256,60,0,7867,0,0,869443
Poco C65,6.74,IPS LCD,260,5000,50,12,Android,8,256,90,0,7854,2,5,973769
