ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
934802,https://resim.epey.com/934802/b_huawei-pura-70-ultra-18.png,Huawei Pura 70 Ultra 16 GB RAM 512 GB,69999,Huawei Pura 70 Ultra,6.8 İnç,OLED,460 PPI,5200 mAh,50 MP,7 nm,Android,16 GB,512 GB,120 Hz,Yok,IPX8,IP6X
890830,https://resim.epey.com/890830/b_xiaomi-13t-pro-5.png,Xiaomi 13T Pro 12 GB RAM 512 GB,28129,Xiaomi 13T Pro,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,512 GB,144 Hz,Var,IPX8,IP6X
986894,https://resim.epey.com/986894/b_poco-x7-pro-512gb-2.png,Poco X7 Pro 12 GB RAM 512 GB,21235,Poco X7 Pro,6.67 İnç,AMOLED,446 PPI,6000 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
940913,https://resim.epey.com/940913/b_poco-f6-pro-1tb-1.png,Poco F6 Pro 16 GB RAM,36954,Poco F6 Pro,6.67 İnç,AMOLED,526 PPI,5000 mAh,50 MP,4 nm,Android,16 GB,1 TB,120 Hz,Var,IPX3,IP5X
757413,https://resim.epey.com/757413/b_samsung-galaxy-s22-ultra-256gb-2.png,Samsung Galaxy S22 Ultra 12 GB RAM 256 GB,51645,Samsung Galaxy S22 Ultra,6.8 İnç,Dynamic AMOLED,500 PPI,5000 mAh,108 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
949023,https://resim.epey.com/949023/b_samsung-galaxy-z-flip6-512gb-1.png,Samsung Galaxy Z Flip6 12 GB RAM 512 GB,47285,Samsung Galaxy Z Flip6,6.7 İnç,Dynamic AMOLED,425 PPI,4000 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP4X
802356,https://resim.epey.com/802356/b_apple-iphone-14-pro-3.png,Apple iPhone 14 Pro 6 GB RAM 128 GB,61983,Apple iPhone 14 Pro,6.1 İnç,OLED,460 PPI,3200 mAh,48 MP,4 nm,iOS,6 GB,128 GB,120 Hz,Var,IPX8,IP6X
994886,https://resim.epey.com/994886/b_apple-iphone-16e-256gb-1.png,Apple iPhone 16e 8 GB RAM 256 GB,48979,Apple iPhone 16e,6.1 İnç,OLED,460 PPI,4005 mAh,48 MP,3 nm,iOS,8 GB,256 GB,60 Hz,Var,IPX8,IP6X
839841,https://resim.epey.com/839841/b_xiaomi-13-8.png,Xiaomi 13 12 GB RAM 256 GB,37991,Xiaomi 13,6.36 İnç,AMOLED,414 PPI,4500 mAh,50 MP,4 nm,Android,12 GB,256 GB,120 Hz,Var,IPX8,IP6X
884193,https://resim.epey.com/884193/b_samsung-galaxy-z-fold5-512gb-1.png,Samsung Galaxy Z Fold5 12 GB RAM 512 GB,57909,Samsung Galaxy Z Fold5,6.2 İnç,Super AMOLED,402 PPI,4400 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,
920040,https://resim.epey.com/920040/b_samsung-galaxy-s24-256gb-2.png,Samsung Galaxy S24 8 GB RAM 256 GB,34379,Samsung Galaxy S24,6.2 İnç,Dynamic AMOLED,418 PPI,4000 mAh,50 MP,4 nm,Android,8 GB,256 GB,120 Hz,Var,IPX8,IP6X
920916,https://resim.epey.com/920916/b_oneplus-12r-1.png,OnePlus 12R 16 GB RAM 256 GB,33889,OnePlus 12R,6.78 İnç,AMOLED,450 PPI,5500 mAh,50 MP,4 nm,Android,16 GB,256 GB,120 Hz,Var,IPX4,IP6X
950765,https://resim.epey.com/950765/b_xiaomi-mix-flip-1.png,Xiaomi Mix Flip 12 GB RAM 512 GB,45289,Xiaomi Mix Flip,6.86 İnç,AMOLED,460 PPI,4780 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,,
895862,https://resim.epey.com/895862/b_apple-iphone-15-plus-512gb-2.png,Apple iPhone 15 Plus 6 GB RAM 512 GB,73066,Apple iPhone 15 Plus,6.7 İnç,OLED,460 PPI,4383 mAh,48 MP,4 nm,iOS,6 GB,512 GB,60 Hz,Var,IPX8,IP6X
974267,https://resim.epey.com/974267/b_huawei-mate-x6-26.png,Huawei Mate X6 12 GB RAM 512 GB,109999,Huawei Mate X6,6.45 İnç,OLED,,5110 mAh,50 MP,7 nm,Android,12 GB,512 GB,120 Hz,Yok,IPX8,
